task,model,eval_type,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_f1_weighted_mean,cv_f1_weighted_std,cv_precision_macro_mean,cv_precision_macro_std,cv_recall_macro_mean,cv_recall_macro_std
3class_strict_fs_filter,RandomForest,cv,0.6090151801004267,0.027535239852353312,0.5471137343860543,0.03015553171166379,0.598497491978243,0.02706502384756092,0.5763567046186646,0.03867915110379259,0.5329385443158159,0.028004942997471655
3class_strict_fs_filter,GradientBoosting,cv,0.6158679940788901,0.026593597914830465,0.5549159919384037,0.030412705727846177,0.6048913794680462,0.02745485596939684,0.5841530904169107,0.033859075488398706,0.5401763416631689,0.029110201831207976
3class_strict_fs_filter,XGBoost,cv,0.5960583983978174,0.02362209426102081,0.5378483297436302,0.023423908071513042,0.5874113273899655,0.02269107833711797,0.5591760271379314,0.03260661207619449,0.5268518133790719,0.020782422163256355
3class_strict_fs_filter,SVM,cv,0.5129683917220561,0.03337737178889799,0.5169148118937922,0.03091114140507217,0.5003114670566446,0.041112194463668296,0.5380473577979002,0.014755453554313715,0.5956385230404881,0.016415365466350147
3class_strict_fs_filter,MLP,cv,0.5922299944852407,0.02157862432496305,0.45288228826806665,0.09386192490114345,0.5375209431309962,0.058625070067837695,0.5793856828661743,0.03368311396989036,0.4581328731011367,0.06731775744098026
3class_strict_fs_filter,Stacking,cv,0.554149130699794,0.038040191954370785,0.5544446680428166,0.035318195785671726,0.5513963100818771,0.041778839191042506,0.5582414408439803,0.025857452493678636,0.6140864521135803,0.02638411941905745
3class_strict_fs_wrapper,LogisticRegression,cv,0.512216642962877,0.039500701913794824,0.5155634301316168,0.038172033790559834,0.5046699680501948,0.04351631370335753,0.529385966553577,0.028665710852584146,0.5848097209326668,0.029526884713840174
3class_strict_fs_wrapper,RandomForest,cv,0.5419266827271936,0.03694841605586411,0.5107899599592463,0.03399318648605311,0.5452903450516478,0.03545388286790459,0.5067372002660404,0.03513274974389337,0.5200409793879927,0.03071926046247405
3class_strict_fs_wrapper,GradientBoosting,cv,0.599103125997736,0.02716373401496234,0.5292538234783162,0.03263954147335385,0.5842290754339357,0.029339786374996294,0.5630767737376738,0.034727055193893394,0.5159897192850849,0.030940190001712786
3class_strict_fs_wrapper,XGBoost,cv,0.5807970278350216,0.02623034706072938,0.51568864103467,0.027276185688235574,0.5702513349576762,0.026040195397818475,0.537105359191248,0.03023018795726652,0.505025575389022,0.02600173161616253
3class_strict_fs_wrapper,SVM,cv,0.5061126752387309,0.03509817853022221,0.5104536616477452,0.03483535526659068,0.48709244334581403,0.04364752426752583,0.5465317300551036,0.022748412144704487,0.6019618316853339,0.02956348265544547
3class_strict_fs_wrapper,MLP,cv,0.6135808202478739,0.02477852539789401,0.5082588545195417,0.05353988241316853,0.5764884649174031,0.040519342290413485,0.5967698076019406,0.0404799985074532,0.49558415758311414,0.04322403659656475
3class_strict_fs_wrapper,Stacking,cv,0.5099265666269991,0.04762558896921028,0.5133013610125907,0.048514800212427406,0.5002074156289966,0.053043535399707596,0.5209566914007785,0.03974383428816334,0.5829526836004534,0.04594449881401421
3class_strict_fs_embedded,LogisticRegression,cv,0.5175311293646416,0.021089053851354313,0.5186137184056927,0.018182962166196526,0.5139829893233462,0.024473769371221976,0.5294436569172914,0.013887331965722307,0.5820920467951162,0.010280473057260733
3class_strict_fs_embedded,RandomForest,cv,0.5815719966330943,0.03034309789597493,0.5116698549654676,0.03494916498719807,0.569485862801419,0.03196169681690893,0.5372467263484154,0.03643752188621883,0.49983880469490416,0.03318056927536739
3class_strict_fs_embedded,GradientBoosting,cv,0.6059675499956463,0.03166125210836116,0.5338057919929827,0.041723909841611895,0.5911059445826202,0.03558142959005723,0.5672944717674894,0.03939339413590386,0.5191960874423269,0.03997367065374458
3class_strict_fs_embedded,XGBoost,cv,0.5861463442951267,0.022475900187489323,0.5239804431276711,0.025840378472078453,0.5771770636330089,0.023994981467828535,0.5417420012005437,0.023171995695734502,0.5142209393709263,0.026554712512798898
3class_strict_fs_embedded,SVM,cv,0.5267001422227382,0.03268561410587584,0.5277682774091769,0.03084537832121983,0.5216301801046711,0.036026476818694475,0.5396687089772618,0.02567778142853105,0.5926486593645971,0.026050523701182566
3class_strict_fs_embedded,MLP,cv,0.6036861811743535,0.020173065704728387,0.4672727212750732,0.07457272687922194,0.5492030103884266,0.05108873129883168,0.5512338899726485,0.09848479938142236,0.46730392577710206,0.0471621493732292
3class_strict_fs_embedded,Stacking,cv,0.5472672916727135,0.02605533364362827,0.5448766188149523,0.02373087950306572,0.5477244505232496,0.028204248844760835,0.5439971321687247,0.02063522314210039,0.5974105883722439,0.01947425551958227
4class_baseline,LogisticRegression,cv,0.5678199285983805,0.024074197346959238,0.5332020694084434,0.02885546572606533,0.5664212391173746,0.022826138651995932,0.5294943758753121,0.028670958643261402,0.5480822911050425,0.028530326890234017
4class_baseline,RandomForest,cv,0.6158360665254115,0.020980515820975442,0.5754630842576247,0.029269808261807802,0.6102769608795059,0.023609439842438726,0.5766227918477131,0.029708475326680604,0.5791837896936011,0.027046142130893604
